name,address,rating,review_count
Le Fraisier,"Ruelle Grand-St-Jean 9, 1003 Lausanne",5.0,4
Le Gros Minet,"Avenue de Cour 67, 1007 Lausanne",4.3,7
Le Lyrique,"Rue Beau-Séjour 29, 1003 Lausanne",4.3,6
Le Marrakech,"Chemin des Falaises 2, 1005 Lausanne",,0
Le Tirol Sàrl,"Chemin des Bossons 3, 1018 Lausanne",5.0,3
Oh! Liban,"Avenue de la Gare 29, 1003 Lausanne",4.8,8
Restaurant Al Dente,"Chemin de Maillefer 121, 1018 Lausanne",4.3,12
Restaurant de l'Aéroport Blécherette,"Avenue du Grey 117, 1018 Lausanne",4.1,12
Restaurant FU LI,"Avenue de Chailly 21, 1012 Lausanne",4.5,25
Tao-Lounge-Bar,"Rue Côtes-de-Montbenon 20, 1003 Lausanne",4.7,3
Tribeca,"Place de la Riponne 4, 1005 Lausanne",4.7,7
Turkan Yasar,"Avenue de Tivoli 1, 1007 Lausanne",5.0,1
Au Chat Noir,"Rue Beau-Séjour 27, 1003 Lausanne",4.8,9
Bamee Bar,"Avenue de la Gare 32, 1003 Lausanne",5.0,3
Bar - Restaurant 44,"Rue de Genève 86, 1004 Lausanne",3.0,3
Brasserie de Chailly,"Chemin de Rovéréaz 5, 1012 Lausanne",3.3,3
Café de Béthusy,"Avenue de Béthusy 27, 1005 Lausanne",,0
Café des Artisans,"Rue Centrale 16, 1003 Lausanne",5.0,5
Café Restaurant des Boveresses,"Avenue des Boveresses 29, 1010 Lausanne",4.0,3
café restaurant Le Valentin,"Rue du Valentin 30, 1004 Lausanne",5.0,1
Café Restaurant PortoNovo,"Rue de Genève 98, 1004 Lausanne",4.2,5
Chez Xu 2,"Rue du Petit-Chêne 27, 1003 Lausanne",3.8,4
Coccinelle Café,"Rue Pichard 20, 1003 Lausanne",4.7,4080
Coteau-Fleuri,"Route d'Oron 77, 1010 Lausanne",4.8,4
"CREACION DEL TATA, Hector Nunez","Rue de la Borde 9, 1018 Lausanne",5.0,3
Gertrude Café,"Rue Caroline 12, 1003 Lausanne",5.0,2
Gymnase du Bugnon,"Rue du Bugnon 5, 1005 Lausanne",,0
il Gambero,"Avenue des Figuiers 2, 1007 Lausanne",4.5,12
Java,"Rue Marterey 36, 1005 Lausanne",4.6,5
L'ÂGE D'OR (L'AO),"Pont Bessières 3, 1005 Lausanne",4.2,9
L'Ardoise,"Avenue de Cour 4, 1007 Lausanne",5.0,1
La Croix d'Ouchy,"Avenue d'Ouchy 43, 1006 Lausanne",4.9,20
Le Kiosque Saint-François,"Place Saint-François 13, 1003 Lausanne",,0
Pomodoro della Nona,"Rue Louis-Curtat 6, 1005 Lausanne",5.0,2
Restaurant de Fontenay,"Chemin de Fontenay 7B, 1007 Lausanne",4.8,10
"Restaurant du Tennis-Club, Stade Lausanne","Avenue de Rhodanie 53, 1007 Lausanne",4.6,8
Restaurant le Tokyo,"Rue Côtes-de-Montbenon 22, 1003 Lausanne",4.7,6
Sardine,"Rue de la Barre 5, 1005 Lausanne",,0
HSF SA - Restaurant Histoire Sans Faim,"Parc du Loup 5A, 1018 Lausanne",,0
Smaggy,"Avenue Emile-Henri-Jaques-Dalcroze 9, 1007 Lausanne",,0
bar gala Sàrl,"Rue du Petit-Saint-Jean 7, 1003 Lausanne",,0
BR Groupe snc,"Avenue de Béthusy 27, 1005 Lausanne",,0
Coop,"Rue Saint-Laurent 24-30, 1003 Lausanne",,0
Kantan Sushi Lausanne,"Place Chauderon 20A, 1003 Lausanne",,0
L'artisan,"Place du Tunnel 5, 1005 Lausanne",5.0,1
Le Bornan,"Allée du Bornan 6, 1007 Lausanne",,0
Le labo traiteur,"Avenue Jomini 5, 1004 Lausanne",,0
Los Nobles Tacos,"Avenue du Léman 77, 1005 Lausanne",,0
Maharaja Food Concepts (MFC) Sàrl,"Avenue Bergières 20, 1004 Lausanne",,0
Momo House Sàrl,"Avenue Recordon 2, 1004 Lausanne",,0
Restaurant Le Café du Tramway,"Rue de la Pontaise 6B, 1018 Lausanne",,0
Seghen sa,"Chemin du Furet 4, 1018 Lausanne",,0
Snack du Marché Sàrl,"Rue Pré-du-Marché 3, 1004 Lausanne",,0
The Greek Project SA,"Rue Marterey 1, 1005 Lausanne",,0
The Lunch Club Sàrl,"Chemin de Montolivet 19A, 1006 Lausanne",,0
Aux 3 Tonneaux,"Rue Grand-St-Jean 18, 1003 Lausanne",3.5,4
de Tivoli,"Avenue de Tivoli 1, 1007 Lausanne",3.8,4
La Couronne d'Or,"Rue des Deux-Marchés 13, 1005 Lausanne",5.0,2
le Lapin Vert,"Ruelle du Lapin-Vert 2, 1005 Lausanne",5.0,1
le Saxo,"Rue Pré-du-Marché 37, 1004 Lausanne",5.0,2
MYO Sushi Bar,"Allée Ernest-Ansermet 1, 1003 Lausanne",3.0,2
Obeirut restaurant,"Rue Bellefontaine 2, 1003 Lausanne",4.3,4
Pré-Fleuri,"Avenue d'Ouchy 22, 1006 Lausanne",4.5,2
57° Grill,"Place du Port 2, 1006 Lausanne",,0
Aki Restaurant,"Rue Marterey 25, 1005 Lausanne",,0
Anne-Sophie Pic,"Chemin de Beau-Rivage 21, 1006 Lausanne",,0
Artishow Bar Gallery,"Rue Côtes-de-Montbenon 5, 1003 Lausanne",,0
Asia Express Chen,"Avenue Louis-Ruchonnet 1, 1003 Lausanne",,0
Äss-Bar,"Rue du Petit-Chêne 28 bis, 1003 Lausanne",,0
ATA SA,"Avenue de Rumine 22, 1005 Lausanne",,0
Aux fleurs de la Terre,"Avenue de Cour 74, 1007 Lausanne",,0
Aux Reflets des Isles,"Chemin de Renens 43, 1004 Lausanne",,0
Aux Trois Tonneaux,"Rue Grand-St-Jean 18, 1003 Lausanne",,0
